FITNESSZONE CADUCIDADES 25/26,,,,,,,,,,,,,,
,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,,-46.143,#N/A,,#N/A
LA FILA DE ARRIBA ES LA QUE TIENE LAS FORMULAS CORRECTAS PARA USAR EL LECTOR- COPIA DE AHI PARA INTRODUCIR NUEVAS FILAS,,,,,,,,,,,,,,
UBI,CODIGO,SKU,PRODUCTO,MARCA,TIPO,COSTE,UDS,COSTE TOTAL,FECHA,FECHA MES,DIAS,ESTADO,OBSERVACIONES,TAGS
LR,8436578410972,1823-1,MAP Energy 345 Gr Sandía,WheyLand,Aminoácidos,"12,85",2,"25,70",30/06/2025,jun-2025,-305,VENDIDO,,"10IVA, Aminoácidos, Beta alanina, Colina, Endurance, Energizantes, Fórmulas aminoácidos esenciales, Ganar músculo, Guaraná, Más Energía, Perder peso, Polvo, Pre-Entrenos, Recuperación, Salud, Salud y Bienestar, Sin carbohidratos, Taurina"
LR,8436578410958,1823-2,MAP Energy 345 Gr Lima,WheyLand,Aminoácidos,"12,85",1,"12,85",30/06/2025,jun-2025,-305,VENDIDO,,"10IVA, Aminoácidos, Beta alanina, Colina, Endurance, Energizantes, Fórmulas aminoácidos esenciales, Ganar músculo, Guaraná, Más Energía, Perder peso, Polvo, Pre-Entrenos, Recuperación, Salud, Salud y Bienestar, Sin carbohidratos, Taurina"
LR,8436578410965,1823-3,MAP Energy 345 Gr Mango,WheyLand,Aminoácidos,"12,85",2,"25,70",30/06/2025,jun-2025,-305,VENDIDO,,"10IVA, Aminoácidos, Beta alanina, Colina, Endurance, Energizantes, Fórmulas aminoácidos esenciales, Ganar músculo, Guaraná, Más Energía, Perder peso, Polvo, Pre-Entrenos, Recuperación, Salud, Salud y Bienestar, Sin carbohidratos, Taurina"
LR,8436540532114,1365,GFS Aminos 300 Gr,Vitobest,Aminoácidos,"19,30",2,"38,60",30/06/2025,jun-2025,-305,VENDIDO CADUCADO,,"10IVA, Aminoácidos, Endurance, Fórmulas aminoácidos esenciales, Ganar músculo, Perder peso, Polvo, PRODUCTOCL, Recuperación, Salud, Salud y Bienestar, Sin carbohidratos"
LR,8435699400251,2629-1,Bcaa 2.1.1 500 Gr Naranja,Quamtrax,Aminoácidos,"12,30",1,"12,30",30/06/2025,jun-2025,-305,VENDIDO CADUCADO,,"+relevantes, 10IVA, AMAZON.AUMENTO.1.99, Aminoácidos, Bcaa, Destacados, Endurance, Ganar músculo, LOWCOST, Perder peso, Polvo, Recuperación, Salud, Salud y Bienestar, Sin carbohidratos"
LR,745808244576,2021-5,Bcaa + Electrolytes 300 Gr Cola,Bigman,Aminoácidos,"9,00",1,"9,00",30/06/2025,jun-2025,-305,VENDIDO CADUCADO,,#N/A
LR,8436574980486,1419-3,Cyclo Pro 1 Kg Mango,Starlabs,Carbos / Subidores,"22,63",1,"22,63",30/06/2025,jun-2025,-305,VENDIDO CADUCADO,,"+vistos, 0 kg - 1 kg, 10IVA, 81-100gr, < 3 kg, Aminoácidos, Carbohidratos, Ciclodextrina, Con carbohidratos, Endurance, Ganar músculo, Más Energía, Polvo, Recuperación, Salud, Salud y Bienestar"
LR,8436594154430,1537-2,Amylopectin 2 Kg Manzana,Vitobest,Carbos / Subidores,"14,60",5,"73,00",30/06/2025,jun-2025,-305,CADUCADO,quedan 3,"0 % - 10 %, 1.01 kg - 2.50 kg, 10IVA, 81-100gr, < 3 kg, Amilopectina, Carbohidratos, Con carbohidratos, Ganar músculo, Más Energía, Polvo, Recuperación"
LR,8594060004341,1346-3,Exclusive Protein Bar 85 Gr 1 Ud Chocolate con leche - Plátano,Amix Nutrition,Barritas & Snacks,"1,34",4,"5,36",30/06/2025,jun-2025,-305,VENDIDO,,"+vendidos, 10IVA, AMIX, Barritas, Barritas y Snacks, Comida Saludable, Endurance, Fit Food, Más Energía"
LR,8436574339345,1593,Turkey Breast-Pechuga de Pavo al Natural 155 Gr,Quamtrax,Comida Fitness,"1,83",4,"7,30",30/06/2025,jun-2025,-305,VENDIDO,,"10IVA, Alimentos orgánicos, Comida Saludable, Desayunos Fit, Fit Food, Keto, Sin gluten, Sin lactosa"
LR,8436601101532,2708-1,Sport Live BCAA´S 8:1:1 + Glutamina 275 Gr,Drasanvi,Aminoácidos,"10,23",3,"30,69",30/06/2025,jun-2025,-305,VENDIDO CADUCADO,,"10IVA, Aminoácidos, Endurance, Ganar músculo, Glutamina y Bcaa, Perder peso, Polvo, Recuperación, Salud, Salud y Bienestar, Sin carbohidratos"
3C,8436578411306,1656,Vitamin C Powder 300 Gr,WheyLand,Vitaminas & Minerales,"9,79",1,"9,79",30/06/2025,jun-2025,-305,VENDIDO,,"10IVA, Antioxidantes, Articulaciones, Cosmética, Endurance, Más Energía, Polvo, Salud, Salud y Bienestar, Sistema Inmune, Vitamina C, Vitaminas"
LR,8594159535329,28-3,"Carbojet Mass 1,8 Kg Fresa - Plátano",Amix Nutrition,Carbos / Subidores,"21,14",1,"21,14",30/06/2025,jun-2025,-305,VENDIDO CADUCADO,,"0-3gr, 10IVA, 21-34gr, 50-64gr, < 3 kg, Amilopectina, AMIX, Añadido extra de aminoácidos, Con carbohidratos, Contiene Creatina, Dextrosa, Enzimas digestivas, Fructosa, Ganadores de peso, Ganar músculo, Maltodextrina, Polvo, Recuperación, Vitaminas / minerales"
LR,8594159531161,3-7,IsoPrime CFM 2 Kg Plátano,Amix Nutrition,Proteína,"59,53",1,"59,53",30/06/2025,jun-2025,-305,VENDIDO,,"+relevantes, +vendidos, 0-3gr, 0-4gr, 1.01 kg - 2.50 kg, 10IVA, 90-100gr, Aislada, AMIX, Enzimas digestivas, Ganar músculo, Perder peso, Polvo, Proteínas, Proteínas sin hidratos, Recuperación, Sin carbohidratos"
LR,8436540530806,1602,Carb Blocker 90 Caps,Vitobest,Control y Pérdida de peso,"9,16",1,"9,16",30/06/2025,jun-2025,-305,REGALO CADUCADO,Angel,"10IVA, Bloqueadores, Control de peso, Cápsulas, Lipotrópicos / Sin estimulantes, Perder peso"
LR,8436609600860,1366,Pure Arginine 90 Caps,Bigman,Preentreno / Precursores,"6,60",1,"6,60",30/06/2025,jun-2025,-305,VENDIDO CADUCADO,,#N/A
LR,8436540530417,1230,L-Carnitine 1000 100 TripleCaps,Vitobest,Control y Pérdida de peso,"11,16",1,"11,16",30/06/2025,jun-2025,-305,VENDIDO,,"10 % - 20 %, 10IVA, Carnitina, Comprimidos, Control de peso, Lipotrópicos / Sin estimulantes, Perder peso"
LR,8436594157035,2456-6,Whey Protein 100% 1 Kg Leche Merengada,Vitobest,Proteína,"20,97",1,"20,97",30/06/2025,jun-2025,-305,VENDIDO CADUCADO,,"0 kg - 1 kg, 10IVA, 4-8gr, 5-9gr, 75-79gr, Concentrada, Ganar músculo, Perder peso, Polvo, Proteínas, Proteínas sin hidratos, Recuperación, Sin carbohidratos"
LR,8436594151378,1590,4Men 30 Caps,Vitobest,Prohormonales,"10,77",1,"10,77",30/06/2025,jun-2025,-305,VENDIDO,,"10 % - 20 %, 10IVA, Anabólicos naturales, Ashwagandha, Boro, Control de estrógeno, Control de estrógenos, Cápsulas, Ecdisterona, Estimulador testosterona, Fenogreco, Ganar músculo, Maca, Multiacción / Complejos, Zinc"
LR,8436594157097,2456-7,Whey Protein 100% 1 Kg Piña Colada,Vitobest,Proteína,"20,97",1,"20,97",30/06/2025,jun-2025,-305,VENDIDO CADUCADO,,"0 kg - 1 kg, 10IVA, 4-8gr, 5-9gr, 75-79gr, Concentrada, Ganar músculo, Perder peso, Polvo, Proteínas, Proteínas sin hidratos, Recuperación, Sin carbohidratos"
CL,8436594154430,1537-2,Amylopectin 2 Kg Manzana,Vitobest,Carbos / Subidores,"14,60",4,"58,40",30/06/2025,jun-2025,-305,VENDIDO CADUCADO,2,"0 % - 10 %, 1.01 kg - 2.50 kg, 10IVA, 81-100gr, < 3 kg, Amilopectina, Carbohidratos, Con carbohidratos, Ganar músculo, Más Energía, Polvo, Recuperación"
CL,728633102525,278-1,Chromium Picolinate 100 Tab.,Scitec Nutrition,Vitaminas & Minerales,"4,06",4,"16,24",30/06/2025,jun-2025,-305,VENDIDO,,#N/A
CL,8413412209374,563-9,Salsas Servivita 320 Ml Chocolate Blanco,Servivita,Comida Fitness,"1,71",1,"1,71",30/06/2025,jun-2025,-305,REGALO CADUCADO,se echa en pequeños frascos como muesta,"+vistos, 10IVA, Comida Saludable, Desayunos Fit, Fit Food, Keto, Recommendation, Salsas cremas y siropes, Sin gluten, Sin lactosa"
CL,8436578544554,1775,Sport Live Vitamina D3 90 Tab,Drasanvi,Vitaminas & Minerales,"5,23",3,"15,69",30/06/2025,jun-2025,-305,VENDIDO,,"10IVA, Articulaciones, Cosmética, Endurance, Más Energía, Salud, Salud y Bienestar, Vitamina D, Vitaminas"
CL,8594159539204,669-5,"RiceMash 1,5 Kg Banoffee",Amix Nutrition,Avena / Arroz,"11,42",1,"11,42",30/06/2025,jun-2025,-305,VENDIDO,,"1.01 kg - 2 kg, 10IVA, 65-80gr, < 3 kg, AMIX, Arroz, Carbohidratos, Comida Saludable, Con carbohidratos, Desayunos Fit, Fit Food, Ganar músculo, Harina de arroz, Harinas, Harinas y tortitas, MRPOPPERS, Más Energía, Polvo, Recuperación"
CL,8594159537392,499-2,Pure CFM Whey Nitro Protein Isolate 1 Kg Vainilla,Amix Nutrition,Proteína,"32,02",1,"32,02",30/06/2025,jun-2025,-305,VENDIDO,,"0 kg - 1 kg, 0-3gr, 0-4gr, 10IVA, 90-100gr, Aislada, AMIX, Enzimas digestivas, Ganar músculo, MUSCLECORE, Perder peso, Polvo, Probióticos, Proteínas, Proteínas sin hidratos, Recuperación, Sin carbohidratos"
CL,8594159533431,510-10,IsoPrime CFM 1 Kg Moca - Chocolate - Café,Amix Nutrition,Proteína,"29,85",2,"59,70",30/06/2025,jun-2025,-305,VENDIDO,,"0 kg - 1 kg, 0-3gr, 0-4gr, 10IVA, 90-100gr, 91-100gr, Aislada, AMIX, Enzimas digestivas, Ganar músculo, Perder peso, Polvo, Proteínas, Proteínas sin hidratos, Recuperación, Sin carbohidratos"
CL,8594159530287,1406-2,"Micelle HD Casein 1,6 Kg",Amix Nutrition,Proteína,"48,16",1,"48,16",30/06/2025,jun-2025,-305,VENDIDO CADUCADO,,"0 kg - 1 kg, 0-3gr, 0-4gr, 10IVA, 80-84gr, AMIX, AMIXPRO, Ganar músculo, Glutamina, Perder peso, Polvo, Proteínas, Proteínas sin hidratos, Recuperación, Secuencial, Secuencial/caseína, Sin carbohidratos, Sin gluten"
CL,8594159530980,1416-1,Greenday Vegefiit Protein 2 Kg Chocolate - Cacahuete - Caramelo,Amix Nutrition,Proteína,"33,32",1,"33,32",30/06/2025,jun-2025,-305,VENDIDO,,"0 kg - 1 kg, 0-3gr, 10IVA, 5-9gr, 75-79gr, AMIX, Ganar músculo, GREENDAY, No animal / Vegetal, Novedades, Perder peso, Polvo, Proteínas, Proteínas sin hidratos, Recuperación, Sin carbohidratos, Vegana"
CL,8594159534636,407-1,Diuretic Complex 90 Caps,Amix Nutrition,Salud y Bienestar,"15,95",1,"15,95",30/06/2025,jun-2025,-305,VENDIDO,,"10IVA, AMIX, Control de peso, Cápsulas, Depuradores, Diente de león, Diuréticos, Extracto diente de león, Guaraná, Ortiga, Perder peso, Perejil, Salud, Té verde, Uva ursi"
CL,8422584058789,1360,Nibs de Cacao Bio 200 Gr,El Granero,Comida Fitness,"6,20",1,"6,20",30/06/2025,jun-2025,-305,VENDIDO,,"04IVA, 10IVA, Alimentos orgánicos, Cacao, Comida Saludable, Desayunos Fit, Fit Food, Keto, Masticable, Sin lactosa, Superalimentos"
CL,8436540533852,1436,Gastro Support 60 Caps,Vitobest,Salud y Bienestar,"11,16",1,"11,16",30/06/2025,jun-2025,-305,REGALO CADUCADO,,"10IVA, Enzimas digestivas, Flora intestinal, Jengibre, MSM, Pepsina, Salud, Salud y Bienestar, Sistema digestivo"
CL,8436540530806,1602,Carb Blocker 90 Caps,Vitobest,Control y Pérdida de peso,"9,16",2,"18,31",30/06/2025,jun-2025,-305,VENDIDO,1,"10IVA, Bloqueadores, Control de peso, Cápsulas, Lipotrópicos / Sin estimulantes, Perder peso"
3C,4837622382637,407-1,Diuretic Complex 90 Caps,Amix Nutrition,Salud y Bienestar,"15,95",1,"15,95",30/06/2025,jun-2025,-305,VENDIDO CADUCADO,,#N/A
3C,8436540530806,794-1,Carb Blocker 90 Caps,Amix Nutrition,Control y Pérdida de peso,"18,45",1,"18,45",30/06/2025,jun-2025,-305,VENDIDO CADUCADO,,"10IVA, Bloqueadores, Control de peso, Cápsulas, Lipotrópicos / Sin estimulantes, Perder peso"
3C,8436578544554,1775,Sport Live Vitamina D3 90 Tab,Drasanvi,Vitaminas & Minerales,"5,23",1,"5,23",30/06/2025,jun-2025,-305,VENDIDO,,"10IVA, Articulaciones, Cosmética, Endurance, Más Energía, Salud, Salud y Bienestar, Vitamina D, Vitaminas"
3C,8436540536938,1470-2,"Monstrous Gainer 1,5 Kg Vainilla",Vitobest,Carbos / Subidores,"9,16",1,"9,16",30/06/2025,jun-2025,-305,VENDIDO,,"0-20gr, 0-3gr, 10IVA, 65-80gr, < 3 kg, AMAZON.AUMENTO.1.99, Amilopectina, Con carbohidratos, Contiene Creatina, Dextrosa, Ganadores de peso, Ganar músculo, Maltodextrina, Recuperación"
3C,8413412209367,563-9,Salsas Servivita 320 Ml Chocolate Blanco,Servivita,Comida Fitness,"1,71",2,"3,42",30/06/2025,jun-2025,-305,REGALO CADUCADO,,"+vistos, 10IVA, Comida Saludable, Desayunos Fit, Fit Food, Keto, Recommendation, Salsas cremas y siropes, Sin gluten, Sin lactosa"
3C,9466491765060,2629-2,Bcaa 2.1.1 500 Gr Naranja,Quamtrax,Aminoácidos,"12,30",1,"12,30",30/06/2025,jun-2025,-305,VENDIDO,,#N/A
3C,8436594154430,1537-2,Amylopectin 2 Kg Manzana,Vitobest,Carbos / Subidores,"14,60",3,"43,80",30/06/2025,jun-2025,-305,VENDIDO CADUCADO,,"0 % - 10 %, 1.01 kg - 2.50 kg, 10IVA, 81-100gr, < 3 kg, Amilopectina, Carbohidratos, Con carbohidratos, Ganar músculo, Más Energía, Polvo, Recuperación"
3C,767501485483,1358-2,L-Carnitine 3000 20 Viales Limón,Gold Nutrition,Control y Pérdida de peso,"11,92",2,"23,84",30/06/2025,jun-2025,-305,VENDIDO CADUCADO,,"10IVA, Carnitina, Colina, Control de peso, Inositol, Lipotrópicos / Sin estimulantes, Líquido, Perder peso"
3C,8436609600860,1366,Pure Arginine 90 Caps,Bigman,Preentreno / Precursores,"6,60",1,"6,60",30/06/2025,jun-2025,-305,VENDIDO,,#N/A
3C,8436540532114,1365,GFS Aminos 300 Gr,Vitobest,Aminoácidos,"19,30",1,"19,30",30/06/2025,jun-2025,-305,VENDIDO CADUCADO,,"10IVA, Aminoácidos, Endurance, Fórmulas aminoácidos esenciales, Ganar músculo, Perder peso, Polvo, PRODUCTOCL, Recuperación, Salud, Salud y Bienestar, Sin carbohidratos"
3C,8436601101532,1907-2,Sport Live BCAA´S 8:1:1 + Glutamina Kyowa 275 Gr Sandía,Drasanvi,Aminoácidos,"14,25",1,"14,25",30/06/2025,jun-2025,-305,VENDIDO,,"10IVA, Aminoácidos, Endurance, Ganar músculo, Glutamina y Bcaa, Perder peso, Polvo, Recuperación, Salud, Salud y Bienestar, Sin carbohidratos"
3C,636665938558,1250-2,Carborelease 2 Kg Frutas del Bosque,Bigman,Carbos / Subidores,"11,14",1,"11,14",30/06/2025,jun-2025,-305,CADUCADO,,#N/A
3C,636665938565,1250-2,Carborelease 2 Kg Neutro,Bigman,Carbos / Subidores,"11,14",1,"11,14",30/06/2025,jun-2025,-305,CADUCADO,,#N/A
3C,8436578410972,1823-3,MAP Energy 345 Gr Sandía,WheyLand,Aminoácidos,"12,85",2,"25,70",30/06/2025,jun-2025,-305,VENDIDO CADUCADO,2 vendidos,"10IVA, Aminoácidos, Beta alanina, Colina, Endurance, Energizantes, Fórmulas aminoácidos esenciales, Ganar músculo, Guaraná, Más Energía, Perder peso, Polvo, Pre-Entrenos, Recuperación, Salud, Salud y Bienestar, Sin carbohidratos, Taurina"
CL,8436568407197,2632,Mix de Harina Sin Gluten Bio 800 Gr,BioArtesa,Comida Fitness,"4,27",2,"8,54",01/07/2025,jul-2025,-304,CADUCADO,"1 regalo caducado, falta otro por vender","0 kg - 1 kg, 10IVA, Carbohidratos, Comida Saludable, Desayunos Fit, Fit Food, Ganar músculo, Harinas, Harinas y tortitas, Sin Gluten, Sin Lactosa"
LR,8436568403687,2632,Mix de Harina Sin Gluten Bio 800 Gr,BioArtesa,Comida Fitness,"4,27",1,"4,27",01/07/2025,jul-2025,-304,VENDIDO,,#N/A
LR,8436568401546,1483,Chlorella Bio 125 Gr,BioArtesa,Comida Fitness,"5,28",1,"5,28",03/07/2025,jul-2025,-302,VENDIDO CADUCADO,,"10IVA, Alimentos orgánicos, Chlorella, Clorella, Comida Saludable, Desayunos Fit, Fit Food, Keto, PRODUCTOCL, Sin gluten, Sin lactosa, Sistema Inmune, Superalimentos"
CL,5999100025219,1583-2,Protein Delite Shake 700 Gr Vainilla - Mora,Scitec Nutrition,Proteína,"19,80",1,"19,80",03/07/2025,jul-2025,-302,VENDIDO,,"0 kg - 1 kg, 10-14gr, 10IVA, 4-8gr, Café verde, Carnitina, Concentrada, Ganar músculo, Oferta, Polvo, Proteínas"
3C,5999100025219,1583-2,Protein Delite Shake 700 Gr Vainilla - Mora,Scitec Nutrition,Proteína,"19,80",2,"39,60",03/07/2025,jul-2025,-302,VENDIDO CADUCADO,-1 Regalo ANGEL,"0 kg - 1 kg, 10-14gr, 10IVA, 4-8gr, Café verde, Carnitina, Concentrada, Ganar músculo, Oferta, Polvo, Proteínas"
LR,5060751995371,2663-3,High Protein Shake 330 Ml Fresa,Optimum Nutrition,Proteína,"2,39",4,"9,56",05/07/2025,jul-2025,-300,VENDIDO,,"+vistos, 10-14gr, 10IVA, 15-24gr, 25-34gr, 35-49gr, 36-50gr, 4-8gr, 75-79gr, Concentrada, Ganar músculo, Líquido, Perder peso, Proteínas, Recuperación"
CL,8023678731382,2570-2,Bebidas MIX 1 Unidad - POS,Isola Bio,Comida Fitness,"0,85",7,"5,95",05/07/2025,jul-2025,-300,VENDIDO,Mora,
CL,5060751995371,2663-3,High Protein Shake 330 Ml Fresa,Optimum Nutrition,Proteína,"2,39",1,"2,39",05/07/2025,jul-2025,-300,VENDIDO,,"+vistos, 10-14gr, 10IVA, 15-24gr, 25-34gr, 35-49gr, 36-50gr, 4-8gr, 75-79gr, Concentrada, Ganar músculo, Líquido, Perder peso, Proteínas, Recuperación"
CL,8436568400525,1601,Mix - Tarta de queso - POS,BioArtesa,Comida Fitness,"2,63",4,"10,52",06/07/2025,jul-2025,-299,VENDIDO,,
CL,8023678731382,2570-2,Bebidas MIX 1 Unidad - POS,Isola Bio,Comida Fitness,"0,85",3,"2,55",06/07/2025,jul-2025,-299,VENDIDO,Huevo de chocolate,
3C,5999076232055,1010-2,Protein Ice Cream 500 Gr Chocolate,Biotech USA,Comida Fitness,"7,39",1,"7,39",13/07/2025,jul-2025,-292,VENDIDO CADUCADO,,"10IVA, Comida Saludable, Fit Food"
LR,5060751995418,2469-3,High Protein Shake 500 Ml Vainilla,Optimum Nutrition,Proteína,"2,39",4,"9,56",15/07/2025,jul-2025,-290,VENDIDO,,"+vistos, 10-14gr, 10IVA, 15-24gr, 25-34gr, 35-49gr, 36-50gr, 4-8gr, 75-79gr, Concentrada, Ganar músculo, Líquido, Perder peso, Proteínas, Recuperación"
LR,5060751995395,2469-1,High Protein Shake 500 Ml Chocolate,Optimum Nutrition,Proteína,"2,39",1,"2,39",16/07/2025,jul-2025,-289,VENDIDO,,"+vistos, 10-14gr, 10IVA, 15-24gr, 25-34gr, 35-49gr, 36-50gr, 4-8gr, 75-79gr, Concentrada, Ganar músculo, Líquido, Perder peso, Proteínas, Recuperación"
CL,5060751995395,2469-1,High Protein Shake 500 Ml Chocolate,Optimum Nutrition,Proteína,"2,39",2,"4,78",16/07/2025,jul-2025,-289,VENDIDO,1,"+vistos, 10-14gr, 10IVA, 15-24gr, 25-34gr, 35-49gr, 36-50gr, 4-8gr, 75-79gr, Concentrada, Ganar músculo, Líquido, Perder peso, Proteínas, Recuperación"
CL,8435699403115,806-9,ZerQbar 60 Gr 1 Ud Stracciatella,Quamtrax,Barritas & Snacks,"1,57",10,"15,66",17/07/2025,jul-2025,-288,VENDIDO,,
LR,8023678731382,2570-2,Bebidas MIX 1 Unidad - POS,Isola Bio,Comida Fitness,"0,85",30,"25,50",17/07/2025,jul-2025,-288,VENDIDO,Pink Donut,"10IVA, Alimentos orgánicos, Bebidas vegetales, Comida Saludable, Desayunos Fit, Fit Food, Líquido, Otros alimentos BIO, Sin lactosa"
LR,8436568400525,1601,Mix - Capuchino - POS,BioArtesa,Comida Fitness,"2,63",11,"28,93",17/07/2025,jul-2025,-288,VENDIDO,,"10IVA, Alimentos orgánicos, Comida Saludable, Desayunos Fit, Fit Food, Frutos secos semillas y deshidratados, Sin gluten, Sin lactosa, Tomate"
CL,8023678731382,2570-2,Bebidas MIX 1 Unidad - POS,Isola Bio,Comida Fitness,"0,85",24,"20,40",17/07/2025,jul-2025,-288,VENDIDO,Pink cake,
CL,8023678731382,2570-2,Bebidas MIX 1 Unidad - POS,Isola Bio,Comida Fitness,"0,85",15,"12,75",17/07/2025,jul-2025,-288,VENDIDO,Nube,
CL,8435699403115,806-9,ZerQbar 60 Gr 1 Ud Croissant,Quamtrax,Barritas & Snacks,"1,57",3,"4,70",17/07/2025,jul-2025,-288,VENDIDO,,"10IVA, 35-49gr, 36-50gr, 5-9gr, 9-15gr, Barritas y Snacks, Comida Saludable, Fit Food, Keto, Masticable"
3C,8435699403115,806-9,ZerQbar 60 Gr 1 Ud Croissant,Quamtrax,Barritas & Snacks,"1,57",4,"6,26",17/07/2025,jul-2025,-288,VENDIDO,,"10IVA, 35-49gr, 36-50gr, 5-9gr, 9-15gr, Barritas y Snacks, Comida Saludable, Fit Food, Keto, Masticable"
3C,8435699403139,806-7,ZerQbar 60 Gr 1 Ud Stracciatella,Quamtrax,Barritas & Snacks,"1,57",3,"4,70",17/07/2025,jul-2025,-288,VENDIDO,,"10IVA, 35-49gr, 36-50gr, 5-9gr, 9-15gr, Barritas y Snacks, Comida Saludable, Fit Food, Keto, Masticable"
LR,8435699400008,1692-2,Brown rice chips 25 Gr Queso,Quamtrax,Comida Fitness,"0,69",5,"3,45",25/07/2025,jul-2025,-280,VENDIDO,,"10IVA, Barritas y Snacks, Comida Saludable, Fit Food"
LR,8435699400015,1692-1,Brown rice chips 25 Gr Cebolla,Quamtrax,Comida Fitness,"0,69",4,"2,76",25/07/2025,jul-2025,-280,VENDIDO,,"10IVA, Barritas y Snacks, Comida Saludable, Fit Food"
CL,8435699400015,1692-1,Brown rice chips 25 Gr Cebolla,Quamtrax,Comida Fitness,"0,69",3,"2,07",25/07/2025,jul-2025,-280,VENDIDO,2,"10IVA, Barritas y Snacks, Comida Saludable, Fit Food"
CL,8435699400008,1692-2,Brown rice chips 25 Gr Queso,Quamtrax,Comida Fitness,"0,69",7,"4,83",25/07/2025,jul-2025,-280,VENDIDO,,"10IVA, Barritas y Snacks, Comida Saludable, Fit Food"
3C,8435699400008,1692-2,Brown rice chips 25 Gr Queso,Quamtrax,Comida Fitness,"0,69",5,"3,45",25/07/2025,jul-2025,-280,VENDIDO CADUCADO,,"10IVA, Barritas y Snacks, Comida Saludable, Fit Food"
3C,8437024233121,1624-12,Salsas Old Lion 330 Ml Mostaza,Old Lion,Comida Fitness,"1,69",1,"1,69",26/07/2025,jul-2025,-279,REGALO CADUCADO,,"+vistos, 10IVA, Comida Saludable, Desayunos Fit, Fit Food, Keto, Recommendation, Salsas cremas y siropes, Sin gluten, Sin lactosa"
3C,8437024233121,1624-9,Salsas Old Lion 330 Ml Mostaza,Old Lion,Comida Fitness,"1,69",2,"3,38",26/07/2025,jul-2025,-279,REGALO CADUCADO,,"+vistos, 10IVA, Comida Saludable, Desayunos Fit, Fit Food, Keto, Recommendation, Salsas cremas y siropes, Sin gluten, Sin lactosa"
LR,8437015531960,1486,Piña deshidratada Bio 100 Gr,BioArtesa,Comida Fitness,"3,02",1,"3,02",30/07/2025,jul-2025,-275,VENDIDO,,"10IVA, Alimentos orgánicos, Barritas y Snacks, Comida Saludable, Desayunos Fit, Fit Food, Frutos secos semillas y deshidratados, Piña, PRODUCTOCL, Sin gluten, Sin lactosa"
LR,5999076223596,542-1,Zero Bar 50 gr 1 Ud Capuchino,Biotech USA,Barritas & Snacks,"1,17",1,"1,17",30/07/2025,jul-2025,-275,VENDIDO,,"+relevantes, +vendidos, 10-14gr, 10IVA, 35-49gr, 36-50gr, 9-15gr, Barritas y Snacks, Comida Saludable, DECATHLON.EXCLUIDO, Fit Food, Keto, Masticable, Sin gluten, Sin lactosa"
CL,8436568401225,2003,Stevia en polvo Bio 50 Gr,BioArtesa,Comida Fitness,"3,14",1,"3,14",30/07/2025,jul-2025,-275,REGALO CADUCADO,alberto,"10IVA, Alimentos orgánicos, Comida Saludable, Desayunos Fit, Fit Food, Keto, Otros alimentos BIO, Sin gluten, Sin lactosa, Sistema digestivo, Stevia"
3C,8436594157165,1572-8,Isolate CFM Zero 2 Kg Limón Yogur,Vitobest,Proteína,"51,68",1,"51,68",30/07/2025,jul-2025,-275,VENDIDO CADUCADO,,"0-3gr, 0-4gr, 1.01 kg - 2.50 kg, 10IVA, 91-100gr, Aislada, Enzimas digestivas, Ganar músculo, Perder peso, Polvo, Proteínas, Proteínas sin hidratos, Recuperación, Sin carbohidratos"
3C,8436594151071,1569-4,Whey Amino Complex 2 Kg Frutas del Bosque,Vitobest,Proteína,"31,21",1,"31,21",30/07/2025,jul-2025,-275,VENDIDO,,"1.01 kg - 2.50 kg, 10IVA, 4-8gr, 5-9gr, 70-74gr, Añadido extra de aminoácidos, Concentrada, Destacados, Enzimas digestivas, Ganar músculo, LOWCOST, Polvo, Proteínas, Vitobest"
3C,636665938589,471-7,Zero Protein Isolate 910 Gr Fresa,Bigman,Proteína,"31,79",1,"31,79",30/07/2025,jul-2025,-275,VENDIDO,,#N/A
3C,636665938213,469-6,Zero Protein Isolate 2 Kg Natillas - Galleta,Bigman,Proteína,"65,89",1,"65,89",30/07/2025,jul-2025,-275,VENDIDO,,"0-3gr, 0-4gr, 1.01 kg - 2.50 kg, 10IVA, 85-89gr, Aislada, Enzimas digestivas, Ganar músculo, Perder peso, Polvo, Proteínas, Proteínas sin hidratos, Recuperación, Sin carbohidratos, Sin lactosa"
3C,8594159533516,3-9,IsoPrime CFM 2 Kg Chocolate - Cacahuete - Caramelo,Amix Nutrition,Proteína,"59,53",1,"59,53",30/07/2025,jul-2025,-275,VENDIDO,,
3C,8436594154294,2449-4,Whey Matrix 50/50 2 Kg Yogur Limón,Vitobest,Carbos / Subidores,"26,99",1,"26,99",30/07/2025,jul-2025,-275,VENDIDO,,"0-3gr, 1.01 kg - 2.50 kg, 10IVA, 35-49gr, 36-50gr, < 3 kg, Amilopectina, Añadido extra de aminoácidos, Con carbohidratos, Contiene Creatina, Dextrosa, Ganadores de peso, Ganar músculo, Maltodextrina, Polvo, Recuperación"
